sale_id,customer_id,product_id,date,quantity,discount_percent,payment_method,status
18746,97,205,2023-01-01,2,5,Credit Card,Completed
46125,245,144,2023-01-01,2,0,Credit Card,Completed
11787,490,158,2023-01-01,3,0,Debit Card,Completed
35216,871,177,2023-01-01,3,0,Credit Card,Completed
40516,115,196,2023-01-01,1,0,Debit Card,Completed
4111,547,214,2023-01-01,3,0,Debit Card,Completed
1179,439,195,2023-01-01,2,0,Cash,Completed
12698,16,148,2023-01-01,1,0,Credit Card,Completed
49579,232,211,2023-01-01,2,0,Debit Card,Completed
32448,765,145,2023-01-01,2,0,Cash,Completed
41927,60,206,2023-01-01,2,0,Credit Card,Completed
49533,752,145,2023-01-01,2,0,Debit Card,Completed
38070,598,143,2023-01-01,2,0,Credit Card,Completed
18607,44,106,2023-01-01,1,0,Debit Card,Completed
35289,885,151,2023-01-01,1,0,Credit Card,Completed
23621,678,238,2023-01-01,3,5,Debit Card,Completed
5582,267,130,2023-01-01,2,5,Credit Card,Completed
34298,59,158,2023-01-01,3,0,Credit Card,Completed
34585,912,236,2023-01-01,2,0,Debit Card,Completed
14692,894,177,2023-01-01,1,0,Credit Card,Processing
29743,853,249,2023-01-01,1,5,Credit Card,Completed
22736,812,209,2023-01-01,-1,0,Debit Card,Completed
34932,775,137,2023-01-01,1,0,PayPal,Shipped
41550,309,170,2023-01-01,1,0,Credit Card,Completed
50518,896,229,2023-01-01,1,0,PayPal,Completed
48078,555,188,2023-01-01,1,0,Debit Card,Completed
8761,608,248,2023-01-01,2,0,Credit Card,Completed
4506,704,123,2023-01-01,1,0,Credit Card,Completed
1560,321,166,2023-01-01,2,0,Credit Card,Completed
6908,704,232,2023-01-01,1,0,Credit Card,Completed
20641,868,197,2023-01-01,2,5,Cash,Completed
17300,486,134,2023-01-01,1,5,Credit Card,Completed
13040,343,232,2023-01-01,3,0,Credit Card,Completed
24211,321,164,2023-01-01,4,0,PayPal,Processing
2144,64,131,2023-01-01,2,0,Credit Card,Completed
50100,374,226,2023-01-01,1,0,Credit Card,Completed
21419,939,188,2023-01-01,2,0,Credit Card,Completed
27888,784,152,2023-01-01,1,0,Credit Card,Completed
39765,712,238,2023-01-01,1,5,Credit Card,Completed
17593,440,104,2023-01-01,1,0,Credit Card,Completed
16106,598,205,2023-01-01,1,0,Debit Card,Processing
23466,18,227,2023-01-01,2,0,Credit Card,Completed
46106,488,189,2023-01-01,1,0,Credit Card,Completed
33733,34,190,2023-01-01,1,0,Credit Card,Completed
48889,144,240,2023-01-01,1,0,Debit Card,Completed
11761,350,108,2023-01-01,2,0,Debit Card,Completed
24853,978,172,2023-01-01,2,0,Cash,Completed
37891,592,134,2023-01-01,3,0,Credit Card,Completed
21824,590,231,2023-01-01,2,0,Credit Card,Completed
9843,781,118,2023-01-01,2,0,Credit Card,Completed
32456,364,206,2023-01-01,2,0,Debit Card,Completed
28565,34,190,2023-01-01,2,0,Credit Card,Completed
21712,937,234,2023-01-01,1,0,Debit Card,Processing
13949,449,174,2023-01-01,1,0,Debit Card,Completed
13691,217,196,2023-01-01,1,0,Credit Card,Completed
14124,156,182,2023-01-01,1,5,Credit Card,Shipped
45834,779,115,2023-01-01,1,5,Credit Card,Completed
47453,480,109,2023-01-01,1,5,Debit Card,Completed
8409,69,226,2023-01-01,4,0,Debit Card,Completed
6091,131,167,2023-01-02,3,0,Debit Card,Completed
32559,273,134,2023-01-02,1,0,Credit Card,Completed
40678,622,200,2023-01-02,4,0,Credit Card,Completed
28278,593,105,2023-01-02,1,5,Debit Card,Completed
30497,224,107,2023-01-02,1,10,Debit Card,Completed
4765,9999,200,2023-01-02,3,5,Credit Card,Completed
3241,510,151,2023-01-02,1,0,Credit Card,Completed
48592,486,219,2023-01-02,1,0,Debit Card,Completed
47394,355,226,2023-01-02,2,0,Debit Card,Completed
48857,465,192,2023-01-02,3,5,Credit Card,Completed
13478,758,205,2023-01-02,4,0,Credit Card,Completed
38637,814,250,2023-01-02,1,0,Cash,Shipped
31703,78,124,2023-01-02,2,0,Cash,Completed
38955,725,205,2023-01-02,2,0,Debit Card,Shipped
2936,244,189,2023-01-02,1,0,Debit Card,Completed
28207,815,125,2023-01-02,3,5,Credit Card,Completed
21552,280,109,2023-01-02,1,5,Credit Card,Completed
13854,627,132,2023-01-02,1,5,Cash,Completed
29875,292,233,2023-01-02,2,5,Credit Card,Completed
26343,726,245,2023-01-02,1,5,Credit Card,Completed
26032,498,206,2023-01-02,1,10,Credit Card,Completed
31887,996,202,2023-01-02,1,0,PayPal,Completed
26284,492,145,2023-01-02,1,0,Credit Card,Completed
22462,413,218,2023-01-02,1,0,Credit Card,Completed
13483,700,198,2023-01-02,1,10,PayPal,Completed
17205,373,147,2023-01-02,1,5,Credit Card,Completed
43291,343,229,2023-01-02,3,5,Debit Card,Completed
17192,238,134,2023-01-02,2,0,Credit Card,Completed
29643,188,126,2023-01-02,1,5,Cash,Completed
48209,21,224,2023-01-02,1,5,Credit Card,Completed
41545,498,171,2023-01-02,1,0,Debit Card,Completed
22516,35,103,2023-01-02,1,0,PayPal,Completed
19310,57,207,2023-01-02,1,5,Debit Card,Completed
11706,823,175,2023-01-02,3,5,Credit Card,Completed
15887,934,248,2023-01-02,2,0,Credit Card,Completed
9259,895,184,2023-01-02,1,0,Credit Card,Completed
9998,17,207,2023-01-02,1,10,Debit Card,Completed
40149,668,118,2023-01-02,2,10,Debit Card,Completed
12185,884,247,2023-01-02,2,5,Debit Card,Completed
16929,996,120,2023-01-02,3,0,Debit Card,Completed
26408,604,205,2023-01-02,3,0,PayPal,Completed
18248,638,223,2023-01-02,1,5,PayPal,Completed
13203,81,182,2023-01-02,2,0,Debit Card,Completed
18277,5,148,2023-01-02,1,0,Credit Card,Completed
35274,876,168,2023-01-02,1,0,Debit Card,Completed
37569,151,209,2023-01-02,1,0,Debit Card,Completed
32567,988,186,2023-01-02,2,5,PayPal,Processing
41294,226,208,2023-01-02,2,0,PayPal,Completed
19403,10,172,2023-01-02,3,10,Credit Card,Completed
18957,383,240,2023-01-02,1,5,Credit Card,Completed
30450,138,129,2023-01-02,1,0,Credit Card,Completed
34515,927,176,2023-01-02,1,0,Credit Card,Shipped
2509,756,151,2023-01-02,1,5,Debit Card,Completed
28273,483,151,2023-01-02,2,5,Credit Card,Completed
19168,436,124,2023-01-02,1,0,Credit Card,Completed
1709,742,139,2023-01-02,1,0,Credit Card,Completed
18392,24,148,2023-01-02,1,0,Credit Card,Completed
30878,855,152,2023-01-02,3,0,Credit Card,Completed
15609,155,231,2023-01-02,5,0,Credit Card,Completed
8304,130,109,2023-01-02,3,0,Debit Card,Completed
9651,472,213,2023-01-02,2,5,Debit Card,Shipped
15312,934,228,2023-01-02,1,5,Credit Card,Completed
49179,190,244,2023-01-02,1,5,Credit Card,Shipped
47636,895,109,2023-01-02,2,0,Credit Card,Processing
34564,128,105,2023-01-02,1,5,Credit Card,Completed
19493,343,158,2023-01-02,2,0,Credit Card,Completed
41257,45,226,2023-01-02,5,5,Debit Card,Completed
38161,239,232,2023-01-02,2,5,Credit Card,Completed
15231,133,152,2023-01-02,1,0,Credit Card,Completed
